feature,importance
seg_top5_mean,0.104449905
seg_top3_mean,0.09197055
myo_vol_mean,0.057961676
seg11_amp,0.04517712
seg17_amp,0.04109699
Eclose,0.038061086
kappa,0.036261745
DeltaTheta,0.035418738
seg12_amp,0.03432746
seg05_amp,0.033679433
seg06_amp,0.03251151
seg16_amp,0.032406025
seg15_amp,0.031345136
seg09_amp,0.030155933
seg10_amp,0.027938263
seg08_amp,0.027461067
seg_dispersion_cv,0.02740481
Ldiast,0.02633768
Rdiast,0.02629029
myo_vol_std,0.026128829
seg13_amp,0.02506243
DeltaTheta_x_top5,0.024769438
seg14_amp,0.024611225
seg04_amp,0.022656737
seg02_amp,0.022477241
seg_base_apex_ratio,0.020080928
seg03_amp,0.019980801
seg01_amp,0.018334458
seg07_amp,0.015642596
